symbol,classification,event_time_bj,drop_pct,funding_rate,ma_score,vol_ratio,max_return_72h,c1_drop,c2_funding,c3_ma,c4_vol
MYXUSDT,strong,2025-08-04 14:00,-50.4,-0.0008,5,3.22,555.67,0,0,1,1
MYXUSDT,strong,2025-08-04 15:00,-47.1,-0.0017000000000000001,5,3.21,555.67,0,1,1,1
MYXUSDT,strong,2025-08-04 16:00,-35.4,-0.0036,5,3.56,555.67,0,1,1,1
MYXUSDT,strong,2025-08-04 17:00,-35.3,-0.0076,5,4.59,499.89,0,1,1,1
MYXUSDT,strong,2025-08-04 18:00,-22.1,-0.0077,5,5.14,499.89,0,1,1,1
MYXUSDT,strong,2025-08-04 19:00,-7.1,-0.0192,5,5.94,499.89,0,1,1,1
MYXUSDT,strong,2025-08-05 00:00,1.8,-0.0127,5,3.94,447.63,0,1,1,1
MYXUSDT,strong,2025-08-05 01:00,11.2,-0.02,4,3.51,447.63,0,1,1,1
MYXUSDT,strong,2025-08-05 02:00,17.9,-0.0176,4,3.21,447.63,0,1,1,1
MYXUSDT,strong,2025-08-05 03:00,17.9,-0.0079,2,3.03,447.63,0,1,1,1
MYXUSDT,strong,2025-09-07 23:00,-7.9,-0.0011,5,10.9,433.8,0,1,1,1
MYXUSDT,strong,2025-09-08 00:00,-7.9,-0.0006,5,11.15,433.8,0,0,1,1
MYXUSDT,strong,2025-08-04 20:00,-12.8,-0.0118,5,6.46,426.84,0,1,1,1
MYXUSDT,strong,2025-08-04 21:00,-12.8,-0.0042,4,5.98,426.84,0,1,1,1
MYXUSDT,strong,2025-08-04 22:00,-12.8,-0.02,5,5.8,426.84,0,1,1,1
MYXUSDT,strong,2025-08-04 23:00,-12.8,-0.0095,4,4.96,426.84,0,1,1,1
MYXUSDT,strong,2025-08-05 04:00,-16.9,-0.0016,4,2.41,284.55,0,1,1,1
MYXUSDT,strong,2025-08-05 05:00,-16.9,-0.002,5,1.73,284.55,0,1,1,1
MYXUSDT,strong,2025-08-05 06:00,-16.9,-0.0006,5,1.07,284.55,0,0,1,0
MYXUSDT,strong,2025-08-05 07:00,-16.9,-0.001,4,0.91,284.55,0,1,1,0
MYXUSDT,strong,2025-08-05 08:00,-16.9,-0.0007000000000000001,3,0.85,284.55,0,0,1,0
PIPPINUSDT,strong,2025-11-24 00:00,,-0.02,,,202.42,0,1,0,0
PIPPINUSDT,strong,2025-11-24 01:00,,-0.0058,,,202.42,0,1,0,0
PIPPINUSDT,strong,2025-11-24 02:00,,-0.0005,,,202.42,0,0,0,0
POWERUSDT,strong,2026-02-24 00:00,,-0.019799999999999998,,,454.46,0,1,0,0
POWERUSDT,strong,2026-02-24 17:00,,-0.0013,,,394.01,0,1,0,0
POWERUSDT,strong,2026-02-24 18:00,,-0.0007000000000000001,,,394.01,0,0,0,0
POWERUSDT,strong,2026-02-24 19:00,,-0.0023,,,394.01,0,1,0,0
POWERUSDT,strong,2026-02-24 20:00,,-0.0032,,,394.01,0,1,0,0
POWERUSDT,strong,2026-02-24 04:00,,-0.0199,,,380.55,0,1,0,0
POWERUSDT,strong,2026-02-24 13:00,,-0.0009,,,348.02,0,0,0,0
POWERUSDT,strong,2026-02-24 14:00,,-0.0007000000000000001,,,348.02,0,0,0,0
POWERUSDT,strong,2026-02-24 15:00,,-0.0006,,,348.02,0,0,0,0
POWERUSDT,strong,2026-02-24 16:00,,-0.0007000000000000001,,,348.02,0,0,0,0
POWERUSDT,strong,2026-02-24 08:00,,-0.02,,,318.91,0,1,0,0
POWERUSDT,strong,2026-02-24 09:00,,-0.0024,,,318.91,0,1,0,0
POWERUSDT,strong,2026-02-24 10:00,,-0.0015,,,318.91,0,1,0,0
POWERUSDT,strong,2026-02-24 11:00,,-0.0011,,,318.91,0,1,0,0
POWERUSDT,strong,2026-02-24 12:00,,-0.001,,,318.91,0,1,0,0
POWERUSDT,strong,2026-02-24 21:00,,-0.0036,,,296.15,0,1,0,0
POWERUSDT,strong,2026-02-25 07:00,,-0.003,,,245.76,0,1,0,0
POWERUSDT,strong,2026-02-25 08:00,,-0.0023,,,217.38,0,1,0,0
POWERUSDT,strong,2026-02-25 09:00,,-0.0006,,,217.38,0,0,0,0
POWERUSDT,strong,2026-02-25 12:00,,-0.0006,,,217.38,0,0,0,0
POWERUSDT,strong,2026-02-25 15:00,,-0.0014000000000000002,,,212.53,0,1,0,0
RAVEUSDT,strong,2026-04-12 04:00,,-0.0023,,,796.41,0,1,0,0
RAVEUSDT,strong,2026-04-12 08:00,,-0.0017000000000000001,,,796.41,0,1,0,0
RAVEUSDT,strong,2026-04-11 00:00,,-0.0019,,,705.83,0,1,0,0
RAVEUSDT,strong,2026-04-12 00:00,,-0.0028000000000000004,,,649.43,0,1,0,0
RAVEUSDT,strong,2026-04-11 20:00,,-0.0042,,,645.2,0,1,0,0
RAVEUSDT,strong,2026-04-12 16:00,,-0.008100000000000001,,,628.89,0,1,0,0
RAVEUSDT,strong,2026-04-11 16:00,,-0.0012,,,589.38,0,1,0,0
RAVEUSDT,strong,2026-04-12 12:00,,-0.0016,,,552.99,0,1,0,0
RAVEUSDT,strong,2026-04-12 20:00,,-0.0018,,,504.34,0,1,0,0
RAVEUSDT,strong,2026-04-13 00:00,,-0.005,,,322.6,0,1,0,0
RAVEUSDT,strong,2026-04-13 04:00,,-0.02,,,217.9,0,1,0,0
RAVEUSDT,strong,2026-04-13 05:00,,-0.0078000000000000005,,,217.9,0,1,0,0
RAVEUSDT,strong,2026-04-13 06:00,,-0.0066,,,217.9,0,1,0,0
RAVEUSDT,strong,2026-04-13 07:00,,-0.0059,,,217.9,0,1,0,0
RIVERUSDT,strong,2025-12-30 09:00,31.4,-0.0004,1,1.0,269.66,1,0,0,0
RIVERUSDT,strong,2025-12-30 10:00,31.4,-0.0012,3,1.25,269.66,1,1,1,0
RIVERUSDT,strong,2025-12-30 11:00,31.4,-0.0018,3,1.32,269.66,1,1,1,0
RIVERUSDT,strong,2025-12-30 16:00,17.8,-0.0019,2,1.82,231.2,0,1,1,1
RIVERUSDT,strong,2025-12-30 17:00,17.8,-0.0009,2,2.44,231.2,0,0,1,1
RIVERUSDT,strong,2025-12-30 12:00,19.1,-0.0018,2,1.36,213.33,0,1,1,0
RIVERUSDT,strong,2025-12-30 13:00,19.1,-0.0018,2,1.37,213.33,0,1,1,0
RIVERUSDT,strong,2025-12-30 14:00,19.1,-0.0017000000000000001,0,1.21,213.33,0,1,0,0
RIVERUSDT,strong,2025-12-30 15:00,19.1,-0.0019,2,1.35,213.33,0,1,1,0
RIVERUSDT,strong,2025-12-30 01:00,18.0,-0.0007000000000000001,1,2.37,200.62,0,0,0,1
RIVERUSDT,strong,2025-12-30 02:00,18.0,-0.0007000000000000001,1,1.95,200.62,0,0,0,1
SIRENUSDT,strong,2026-03-24 05:00,73.9,-0.0005,3,0.26,249.94,1,0,1,0
SIRENUSDT,strong,2026-03-24 06:00,73.9,-0.0004,2,0.21,249.94,1,0,1,0
SIRENUSDT,strong,2026-03-24 07:00,73.9,-0.0007000000000000001,2,0.21,249.94,1,0,1,0
SIRENUSDT,strong,2026-03-24 08:00,73.9,-0.0005,2,0.17,249.94,1,0,1,0
SIRENUSDT,strong,2026-04-14 21:00,16.6,-0.0006,0,0.46,227.84,0,0,0,0
SIRENUSDT,strong,2026-04-14 22:00,16.6,-0.0007000000000000001,0,0.48,227.84,0,0,0,0
SIRENUSDT,strong,2026-04-14 23:00,16.6,-0.0005,0,0.51,227.84,0,0,0,0
SIRENUSDT,strong,2026-04-15 00:00,13.2,-0.0005,0,0.64,214.95,0,0,0,0
SIRENUSDT,strong,2026-04-15 01:00,13.2,-0.0008,2,1.67,214.95,0,0,1,1
SIRENUSDT,strong,2026-04-15 10:00,13.0,-0.0005,4,0.87,214.24,0,0,1,0
SIRENUSDT,strong,2026-04-14 16:00,12.3,-0.0007000000000000001,0,0.49,211.44,0,0,0,0
SIRENUSDT,strong,2026-04-14 17:00,12.3,-0.0007000000000000001,1,0.38,211.44,0,0,0,0
SIRENUSDT,strong,2026-04-14 18:00,12.3,-0.0006,0,0.38,211.44,0,0,0,0
SIRENUSDT,strong,2026-04-14 19:00,12.3,-0.0009,0,0.43,211.44,0,0,0,0
SIRENUSDT,strong,2026-04-14 20:00,12.3,-0.0008,1,0.45,211.44,0,0,0,0
SIRENUSDT,strong,2026-04-14 14:00,8.9,-0.0004,2,0.47,200.0,0,0,1,0
SIRENUSDT,strong,2026-04-14 15:00,8.9,-0.0006,0,0.49,200.0,0,0,0,0
SIRENUSDT,strong,2026-04-14 10:00,6.7,-0.0005,3,0.24,196.71,0,0,1,0
SIRENUSDT,strong,2026-04-14 11:00,6.7,-0.0004,3,0.27,196.71,0,0,1,0
SIRENUSDT,strong,2026-04-16 01:00,10.1,-0.003,2,3.24,185.02,0,1,1,1
SIRENUSDT,strong,2026-04-16 02:00,10.1,-0.0034000000000000002,3,2.61,185.02,0,1,1,1
SIRENUSDT,strong,2026-04-16 03:00,10.1,-0.0034000000000000002,3,1.43,185.02,0,1,1,0
SIRENUSDT,strong,2026-03-24 17:00,67.8,-0.0006,4,0.53,184.34,1,0,1,0
SIRENUSDT,strong,2026-03-24 18:00,65.9,-0.0006,4,0.46,184.34,1,0,1,0
SIRENUSDT,strong,2026-03-24 19:00,61.8,-0.0012,3,0.4,184.34,1,1,1,0
SIRENUSDT,strong,2026-03-24 20:00,61.8,-0.0009,3,0.38,184.34,1,0,1,0
SIRENUSDT,strong,2026-03-25 00:00,61.8,-0.0006,2,0.36,184.27,1,0,1,0
SIRENUSDT,strong,2026-03-25 01:00,61.8,-0.0009,3,0.35,184.27,1,0,1,0
SIRENUSDT,strong,2026-03-25 02:00,61.8,-0.0006,2,0.33,184.27,1,0,1,0
SIRENUSDT,strong,2026-03-25 03:00,61.8,-0.0005,3,0.21,184.27,1,0,1,0
SIRENUSDT,strong,2026-03-25 04:00,61.8,-0.0005,2,0.17,184.27,1,0,1,0
SIRENUSDT,strong,2026-03-19 16:00,16.9,-0.0017000000000000001,2,1.39,183.77,0,1,1,0
SIRENUSDT,strong,2026-03-24 13:00,67.8,-0.0003,3,2.81,183.38,1,0,1,1
SIRENUSDT,strong,2026-03-24 14:00,67.8,-0.0009,3,1.66,183.38,1,0,1,1
SIRENUSDT,strong,2026-03-24 15:00,67.8,-0.0008,2,1.18,183.38,1,0,1,0
SIRENUSDT,strong,2026-03-24 16:00,67.7,-0.0007000000000000001,3,0.84,183.38,1,0,1,0
SIRENUSDT,strong,2026-03-24 21:00,61.6,-0.0012,4,0.36,183.34,1,1,1,0
SIRENUSDT,strong,2026-03-24 22:00,61.6,-0.0006,4,0.3,183.34,1,0,1,0
SIRENUSDT,strong,2026-03-24 23:00,61.6,-0.0007000000000000001,2,0.36,183.34,1,0,1,0
SIRENUSDT,strong,2026-04-14 05:00,4.4,-0.0004,3,0.73,182.84,0,0,1,0
UAIUSDT,strong,2025-11-07 08:00,,-0.02,,,208.77,0,1,0,0
UAIUSDT,strong,2025-11-07 09:00,,-0.009899999999999999,,,208.77,0,1,0,0
UAIUSDT,strong,2025-11-07 10:00,,-0.006999999999999999,,,208.77,0,1,0,0
UAIUSDT,strong,2025-11-07 11:00,,-0.0048,,,208.77,0,1,0,0
UAIUSDT,strong,2025-11-07 12:00,,-0.0049,,,208.77,0,1,0,0
